№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
9,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007513,Управление по делам религий,Руководитель,не имеется,Сhevrolet Мalibu,023QN05,
10,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007501,Управление образования,Руководитель,не имеется,Сhevrolet Мalibu,013QN05,
11,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 99999805,Управление образования,Заместитель,не имеется,Skoda Super,054QN05,
12,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007541,Управление образования,Заместитель,не имеется,Skoda Super,045QN05,
13,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех.паспорт             № 80007482,Управление здравоохранения,Руководитель,не имеется,Сhevrolet Мalibu,050QN05,
14,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех.паспорт             № 80007542,Управление здравоохранения,Заместитель,не имеется,Skoda Super,048QN05,
15,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех.паспорт                   № 99999723,Управление здравоохранения,Заместитель,не имеется,Skoda Super,072QN05,
16,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007502,Управление  координации занятости и социальных программ Алматинской области,Руководитель,не имеется,Сhevrolet Мalibu,014QN05,
17,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт           №99999803,,Заместитель,не имеется,Skoda Super,056QN05,
18,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",№ ВС 80007515,Управление физической культуры и спорта,Руководитель,не имеется,Сhevrolet Мalibu,031QN05,
19,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт           № 80007508,Управление по развитию языков,Руководитель,не имеется,Сhevrolet Мalibu,021QN05,
20,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт            № 99999797,Управление туризма,Руководитель,не имеется,Сhevrolet Мalibu,077QN05,
21,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт           № 80007509,Управление энергетики и водоснабжения,Руководитель,не имеется,Сhevrolet Мalibu,024QN05,
22,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт           № 80007539,Управление энергетики и водоснабжения,Заместитель,не имеется,Skoda Super,044QN05,
23,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт            № 80007642,Управление цифровых технологий,Руководитель,не имеется,Сhevrolet Мalibu,034QN05,
24,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007670,Управление внутренней политики,Руководитель,не имеется,Сhevrolet Мalibu,011QN05,
25,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999724,Управление внутренней политики,Заместитель,не имеется,Skoda Super,069QN05,
26,"Алматинская область, г.Конаев",,"КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007504,"Управление культуры, архивов и документации",Руководитель,не имеется,Сhevrolet Мalibu,018QN05,
27,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №99998958,Управление сельского хозяйства,Руководитель,не имеется,Hyundai Mufasa,065QN05,
28,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №           ВW 00010887,Управление сельского хозяйства,Заместитель,не имеется,Skoda Super,646ST05,
29,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999806,Управление сельского хозяйства,Заместитель,не имеется,Skoda Super,053QN05,
30,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007506,Управление ветеринарии,Руководитель,не имеется,Сhevrolet Мalibu,016QN05,
31,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007627,Управление ветеринарии,Заместитель,не имеется,Kia Cerato,033QN05,
32,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007516,Управление природных ресурсов и регулирования природопользования,Руководитель,не имеется,Сhevrolet Мalibu,025QN05,
33,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999373,Управление природных ресурсов и регулирования природопользования,Заместитель,не имеется,Skoda Super,039QN05,
34,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998660,Управление земельных отношений,Руководитель,не имеется,Hyundai Mufasa,082BC05,
35,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999733,Управление земельных отношений,Заместитель,не имеется,Skoda Super,063QN05,
36,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007511,Управление строительства,Руководитель,не имеется,Сhevrolet Мalibu,022QN05,
37,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998665,Управление строительства,Заместитель,не имеется,Hyundai Mufasa,511BC05,
38,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999796,Управление строительства,Заместитель,не имеется,Skoda Super,058QN05,
39,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт        №ВС 80007476,Управление по вопросам молодежной политики,Руководитель,не имеется,Kia K 5,030QN05,
40,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007517,Управление архитектуры и градостроительства,Руководитель,не имеется,Сhevrolet Мalibu,029QN05,
41,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999351,Управление государственного архитектурно-строительного контроля,Руководитель,не имеется,Сhevrolet Мalibu,012QN05,
42,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998661,Управление пассажирского транспорта и автомобильных дорог,Руководитель,не имеется,Hyundai Mufasa,341BC05,
43,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998661,Управление пассажирского транспорта и автомобильных дорог,Заместитель,не имеется,Skoda Super,074QN05,
44,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС80007521,Управление предпринимательства и индустриально-инновационного развития,Руководитель,не имеется,Сhevrolet Мalibu,027QN05,
45,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999794,Управление предпринимательства и индустриально-инновационного развития,Заместитель,не имеется,Skoda Super,059QN05,
46,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99999725,Управление предпринимательства и индустриально-инновационного развития,Заместитель,не имеется,Skoda Super,068QN05,
47,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998956,Управление водных ресурсов и ирригации,Руководитель,не имеется,Hyundai Mufasa,064QN05,
48,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области",,тех паспорт №ВС80007507,Управление жилищно-коммунального хозяйства и благоустройства,Руководитель,не имеется,Сhevrolet Мalibu,019QN05,
49,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998955,"Управления по мобилизационной подготовке, территориальной и гражданской обороне",Руководитель,не имеется,Hyundai Mufasa,057QN05,
50,"Алматинская область, г.Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех паспорт №ВС99998378,Управление по защите прав детей,Руководитель,не имеется,KIA K5,020QN05,
Подведомственные организации в сфере Образования,,,,,,,,,,
1,"Алматинская область, город Қонаев",КГУ «Кабинет психолого-педагогической коррекции №1» город Қонаев ГУ «Управление образования Алматинской области»,"КГУ «Кабинет психолого-педагогической коррекции №1» город Қонаев ГУ «Управление образования Алматинской области», баланс",технический паспорт BC99998428,"КГУ «Кабинет психолого-педагогической коррекции №1»
город Қонаев ГУ «Управление образования Алматинской области»",водитель : Кобентаев Серикхан Рафикович,-,LADA VESTA      год выпуска 2020г,267АК05,
2,"Алматинская область, Енбекшиказахский район
район, город Есик, улица Алматинская, строение
209/6","КГУ ""Кабинет психолого-педагогической коррекции №2"" Енбекшиказахского района ГУ ""Управление образования Алматинской
области""","КГУ ""Кабинет психолого-педагогической коррекции №2"" Енбекшиказахского района ГУ ""Управление образования Алматинской области"", баланс",№01006123 от 19.02.2016г,"КГУ ""Кабинет психолого-педагогической коррекции №2"" Енбекшиказахского района ГУ ""Управление образования Алматинской
области""",Мухаметжанов Галымбек Канатбекович,№10 от 05.02.2026г приказ закрепления на каждый год,Daewoo Nexia 2011г,751АР05,
3,"Алматинская ,Карасайский,Каскелен","КГУ ""Кабинет психолого-педагогической коррекции №3""Карасайского района ГУ ""Управление образования Алматинской области""","КГУ ""Кабинет психолого-педагогической коррекции №3""Карасайского района ГУ ""Управление образования Алматинской области"",баланс",технический паспорт BQ №80002887,"КГУ ""Кабинет психолого-педагогической коррекции №3""Карасайского района ГУ ""Управление образования Алматинской области""",водитель Мнайкулов Аскар Таттыгалиевич,приказ №2 от 01.04.2014,"Daewoo Nexia,2012",022AR05,
4,Алматинская область Талгарский р/н с Талдыбулак,"КГУ ""Кабинет психолого-педагогической коррекции №4"" Талгарского района ГУ ""Управление образования Алматинской области""","КГУ ""Кабинет психолого-педагогической коррекции №4"" Талгарского района ГУ ""Управление образования Алматинской области""",№AR20006861  от 28.12.2022г.,"КГУ ""Кабинет психолого-педагогической коррекции №4"" Талгарского района ГУ ""Управление образования Алматинской области""",Водитель  Кенжекулов Б,01 ж/қ от 06.01.2026г,Chevrolet Cobalt 2022г,344АК05,
5,Алматинская область Уйгурский район село Шонжы,КГУ Кабинет психолого-педагогической коррекции №5 Уйгурского района ГУ Управления образования Алматинской области,"КГУ Кабинет психолого-педагогической коррекции №5 Уйгурского района ГУ Управления образования Алматинской области, баланс",BN № 00000942 от 02.07.2015г,КГУ Кабинет психолого-педагогической коррекции №5 Уйгурского района ГУ Управления образования Алматинской области,водитель Султангазиев Ерғани Бахытжанович,-,Lada 21214      2014 года выпуска,351AN05,
6,"ГУ «Управление образования Алматинской области», Илийский район,  село Отеген батыра","КГУ ""Кабинет психолого-педдагогической коррекции № 6""села Отеген батыра, Илийского района ГУ ""Управления Алматинской области""","КГУ ""Кабинет психолого-педдагогической коррекции № 6""села Отеген батыра, Илийского района ГУ ""Управления Алматинской области""",BN № 00007410,"КГУ ""Кабинет психолого-педдагогической коррекции № 6""села Отеген батыра, Илийского района ГУ ""Управления Алматинской области""","Руководитель -Боранбаева Алма Сандыбаевна, водитель -Мусилимова Айганым Сарсенкуловна",№ 33-б ж/қ 01.04.2026,Hyundai accent,832LC05,
7,"Алматинская область,Балхашский район, с.Баканас","КГУ""Кабинет психолого-педагогической коррекции №7""Балхашского района ГУ""Алматинской области""","КГУ""Кабинет психолого-педагогической коррекции №7""Балхашского района ГУ""Алматинской области"" Баланс",Свидетельство о регистрации BC №80003995 от 01.08.2007г,"КГУ""Кабинет психолого-педагогической коррекции №7""Балхашского района ГУ""Алматинской области""",Водитель Ибраимов Сабыр Калтаевич,Приказ №2 от 15.01.2025г,Лада 21154/Lada 21154. Год выпуска ТС 2007г,267BV05,
8,"Алматинская область, Енбекшиказахский р/н,              с. Шелек","КГУ  «Кабинет психолого  - педагогической коррекции №8»
Енбекшиказахского района государственного учреждения
Управление  образования  Алматинской области»","КГУ  «Кабинет психолого  - педагогической коррекции №8» Енбекшиказахского района государственного учреждения Управление  образования  Алматинской области», баланс",ВО № 66001855,"КГУ  «Кабинет психолого  - педагогической коррекции №8»
Енбекшиказахского района государственного учреждения
Управление  образования  Алматинской области»            Форма владения: баланс",Чонкабаев Асхат Турланович - водитель,-,"Skoda Rapid, 2014г.",905AB05,
9,"Алматинская область, Карасайский район, село Шамалган","КГУ ""Кабинет психолого-педдагогической коррекции № 9""села Шамалган Карасайского района ГУ ""Управления Алматинской области""","КГУ ""Кабинет психолого-педдагогической коррекции № 9""села Шамалган Карасайского района ГУ ""Управления Алматинской области""",Технический паспорт №VL00356728 27.10.2020,КГУ КППК №9 села Шамалган,Водитель Саурыков Ермек Сейдалиевич,-,Hyunday Accent 2021 года,608BA05,
10,"Алматинская область,Талгарский район","КГУ ""Областная психолого-медико-педагогическая консультация № 1 города Талгар""","КГУ ""Областная психолого-медико-педагогическая консультация № 1 города Талгар"", баланс",№AR20000896 от 21.10.2019г.,"КГУ ""Областная психолого-медико-педагогическая консультация № 1 города Талгар","Суймбаев Талгат Стаханович, Водитель",№68 от 03.11.2025,KIA RIO,181LC05,
11,"Алматинская область, Илийскии район, п Отеген батыр","КГУ ""Областная психолого-медико-педагогическая консультация № 5 села Отеген батыр "" ГУ ""Управление образования Алматинской области»","КГУ ""Областная психолого-медико-педагогическая консультация № 5 села Отеген батыр "" ГУ ""Управление образования Алматинской области», баланс",№ 00007156,"КГУ ""Областная психолого-медико-педагогическая консультация № 5 села Отеген батыр "" ГУ ""Управление образования Алматинской области», баланс",Нурекенов Адиль,-,KIA RIO,245LC05,
12,"Алматинская область, Енбекшиказахский район, г.Есик","КГУ ""Областная психолого-медико-педагогическая консультация №6 г.Есик"" ГУ ""Управления образования Алматинской области""","КГУ ""Областная психолого-медико-педагогическая консультация №6 г.Есик"" ГУ ""Управления образования Алматинской области"" на балансе",№ 1918229384,"КГУ ""Областная психолого-медико-педагогическая консультация №6 г.Есик"" ГУ ""Управления образования Алматинской области""","Адильханов Акылбек Тойганбекович, водитель",№11 от 01.11.2023г.,Lada Vesta 2019,557AW05,
13,"Алматинская область, Кегенский район, Кеген","КГУ ""Областная психолого- медико-педагогическая консультация № 7 села Кеген"" ГУ ""Управление образования Алматинской области""","КГУ ""Областная психолого- медико-педагогическая консультация № 7 села Кеген"" ГУ ""Управление образования Алматинской области""",№BC99999055,"КГУ ""Областная психолого- медико-педагогическая консультация № 7 села Кеген"" ГУ ""Управление образования Алматинской области""",Кадырова Ж.Ш,Шакенов.М  приказ №89,KIA  RIO  FL  2019 г.,141LC05,
14,"Адматинская область, Илийский район, село Боралдай","КГУ ""Областная психолого-медико-педагогическая консультация №9""поселка Боралдай Илийского района.ГУ ""Управление образование Алматинской области""","КГУ ""Областная психолого-медико-педагогическая консультация №9""поселка Боралдай Илийского района.ГУ ""Управление образование Алматинской области""",Техпаспорт №AL00022307 от 15.08.23г.,"КГУ ""Областная психолого-медико-педагогическая консультация №9""поселка Боралдай Илийского района.ГУ ""Управление образование Алматинской области""",Елубаев Н.Б.,Приказ №33 от 02.10.23г.,Автомобиль CHEVROLET COBALT,107AJ05,
15,"Алматинская область, Енбекшиказахский район, г. Есик","КГУ ""Областная специальная школа-интернат №1""","КГУ ""Областная специальная школа-интернат №1"" , баланс",Технический паспорт BE01008608,"КГУ ""Областная специальная школа-интернат №1""",Аскаров М.,-,Skoda Oktavia 2012гв,768АР05,
16,"Алматинская область, Енбекшиказахский район, г. Есик","КГУ ""Областная специальная школа-интернат №1""","КГУ ""Областная специальная школа-интернат №1"" , баланс",Технический паспорт BE01008607,"КГУ ""Областная специальная школа-интернат №1""",Аскаров М.,-,Ssang Yong Actyon 2013 гв,559AU05,
17,"Алматинская область, Енбекшиказахский р-н, г.Есик",КГУ «Областная специальная школа-интернат №2»,КГУ «Областная специальная школа-интернат №2»,технический паспорт  №01001665   18.04.2001 г.,КГУ «Областная специальная школа-интернат №2»,Шажабаев А.С.,№5 от 01.02.2018 г.,Vas 21213,B910AE,
18,"Алматинская область, Енбекшиказахский р-н, г.Есик",КГУ «Областная специальная школа-интернат №2»,КГУ «Областная специальная школа-интернат №2»,технический паспорт № BE 01003007 23.02.2006г.,КГУ «Областная специальная школа-интернат №2»,Шажабаев А.С.,,Vas 21150,B114BR,неисправный
19,"Алматинская область, Карасайский район","КГУ ""Областная специальная школа-интернат №3 государственного учреждения"" Управление Алматинской области","КГУ ""Областная специальная школа-интернат №3 государственного учреждения"" Управление Алматинской области",КГУ ОСШИ ДДСНИ г.Каскелен ГУ УО Алматинской области ВВ№70012839,"КГУ ""Областная специальная школа-интернат №3 государственного учреждения"" Управление Алматинской области","Директор Рахышова Анар Саматовна, Водитель Серикбаев Жанат",-,KIA CERATO 2012,042A005,
20,"Алматинская область,Талгарский район","ГУ ""Отдел образования по Талгарскому району Управления образования Алматинской 
области""","ГУ ""Отдел образования по Талгарскому району Управления образования Алматинской 
области"", баланс",BE 99999697  от 05.08.2024г,"ГУ ""Отдел образования по Талгарскому району Управления образования Алматинской 
области""",Қасымхан Данияр Жұмағұлұлы - водитель,приказ № 29- ж/қ от 04.05.2026г,KIA RIO год выпуска 2020,551BV05,
